,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
3692,1920,5,0,2100.0,4560.0,5,3782000.0,1.0,3.0,4,28
3693,1931,36,0,9933.0,36216.0,36,3781557.0,1.0,6.0,6,30
3697,1901,2,0,1900.0,3620.0,2,3780000.0,1.0,3.0,9,29
3707,1931,0,1,7680.0,7828.0,1,3775000.0,2.0,1.0,4,21
3752,2005,1,0,1600.0,2560.0,1,3750000.0,1.0,4.0,6,26
3753,1920,4,0,2200.0,3510.0,4,3750000.0,1.0,3.0,8,2
3754,1901,2,0,1948.0,3624.0,2,3750000.0,1.0,4.0,7,14
3755,1920,7,0,2028.0,4668.0,7,3750000.0,1.0,4.0,5,8
3756,1920,2,2,1768.0,3780.0,4,3750000.0,1.0,4.0,12,22
3769,1919,3,1,2500.0,3750.0,4,3740000.0,1.0,3.0,4,7
3770,1905,8,0,2190.0,4068.0,8,3736000.0,1.0,4.0,11,27
3784,1922,2,2,3833.0,5358.0,4,3712500.0,2.0,2.0,9,7
3790,1931,6,0,3000.0,4950.0,6,3704000.0,1.0,3.0,8,7
3823,2015,1,0,1176.0,4441.0,1,3700000.0,0.0,4.0,11,14
3824,1910,5,1,2000.0,5740.0,6,3700000.0,1.0,4.0,5,8
3825,1856,6,1,2000.0,5000.0,7,3700000.0,1.0,4.0,5,8
3827,1931,0,1,2500.0,7500.0,1,3700000.0,1.0,3.0,1,9
3828,1931,3,1,1825.0,5700.0,4,3700000.0,1.0,4.0,5,18
3829,1930,19,0,6200.0,23280.0,19,3700000.0,1.0,4.0,2,23
3830,1928,6,1,2500.0,4500.0,7,3700000.0,1.0,4.0,8,23
3832,1901,2,0,1972.0,4290.0,2,3700000.0,1.0,3.0,3,6
3833,1901,2,0,1726.0,2730.0,2,3700000.0,1.0,3.0,9,26
3834,1981,0,1,4000.0,4000.0,1,3700000.0,1.0,1.0,5,2
3848,1905,4,0,1900.0,3573.0,4,3685000.0,1.0,3.0,11,1
3854,1931,1,1,2500.0,2000.0,2,3680000.0,2.0,2.0,11,28
3863,1900,4,0,2500.0,3375.0,4,3670000.0,1.0,3.0,8,29
3903,1958,2,0,3750.0,5217.0,2,3650000.0,1.0,2.0,2,8
3904,1899,2,0,1700.0,2955.0,2,3650000.0,1.0,3.0,2,27
3905,1901,2,0,2000.0,4654.0,2,3650000.0,1.0,3.0,2,23
3923,1900,6,1,2394.0,5400.0,7,3625000.0,2.0,3.0,9,18
3924,1931,0,1,1942.0,3300.0,1,3625000.0,1.0,2.0,5,2
3992,1899,2,0,1950.0,2736.0,2,3600000.0,1.0,3.0,4,28
3993,1899,2,0,1317.0,2392.0,2,3600000.0,1.0,3.0,7,7
3994,1931,20,0,5930.0,21000.0,20,3600000.0,1.0,4.0,6,22
3995,1920,1,0,10000.0,3512.0,1,3600000.0,1.0,2.5,6,16
3996,1901,1,0,1700.0,2559.0,1,3600000.0,1.0,3.0,1,13
3997,1920,3,1,1558.0,3315.0,4,3600000.0,1.0,4.0,8,3
3998,1910,8,0,2500.0,6000.0,8,3600000.0,1.0,4.0,4,6
4010,1901,3,0,1710.0,3640.0,3,3594500.0,1.0,3.0,5,11
4019,1920,3,1,1238.0,2972.0,4,3577000.0,1.0,4.0,6,28
4027,2000,2,0,2520.0,3269.0,2,3575000.0,1.0,3.0,12,5
4031,1933,6,3,2000.0,4710.0,9,3565000.0,1.0,4.0,3,16
4052,1900,3,1,1305.0,3900.0,4,3550000.0,1.0,4.0,7,19
4053,1930,1,0,6000.0,3600.0,1,3550000.0,2.0,2.5,1,9
4054,1899,1,0,1700.0,2559.0,1,3550000.0,1.0,3.0,5,24
4055,1901,2,0,1950.0,2850.0,2,3550000.0,1.0,2.0,6,30
4080,2015,1,0,1875.0,3745.0,1,3525000.0,1.0,0.0,1,6
4081,1899,2,0,1667.0,3378.0,2,3525000.0,1.0,3.0,5,25
4087,1910,1,0,4000.0,1820.0,1,3515000.0,1.0,2.0,5,16
4094,2015,1,0,1875.0,3745.0,1,3506000.0,1.0,0.0,1,19
4182,1931,0,1,6490.0,3660.0,1,3500000.0,1.0,3.0,9,5
4183,1910,16,0,4000.0,10400.0,16,3500000.0,1.0,4.0,5,18
4184,1930,2,1,3800.0,8550.0,3,3500000.0,1.0,2.0,4,28
4185,2003,1,0,4007.0,5568.0,1,3500000.0,1.0,3.0,2,21
4186,1930,3,1,1600.0,3360.0,4,3500000.0,1.0,3.0,1,18
4189,0,0,0,14558.0,0.0,0,3500000.0,0.0,0.0,9,19
4190,1900,3,1,1147.0,4000.0,4,3500000.0,1.0,4.0,3,22
