,year_built,residential_units,commercial_units,land_sqft,gross_sqft,total_units,sale_price,NumBldgs,NumFloors,sale_month,sale_day
49257,1957,0,2,3000,2744,2,790000,1,1,6,29
49261,2005,3,0,1817,3510,3,790000,1,3,11,2
49263,1920,2,0,3000,2152,2,790000,1,2,10,10
49264,1910,2,0,2500,1602,2,790000,1,2,5,22
49265,1901,2,0,2000,3084,2,790000,1,2,3,15
49266,1910,2,0,2000,2128,2,790000,1,2,8,14
49267,1910,3,0,2500,2160,3,790000,1,2,8,17
49268,1910,3,0,2500,2360,3,790000,2,2,11,16
49269,1970,3,0,2000,2000,3,790000,1,2,12,22
49270,1930,4,0,2650,3520,4,790000,1,2,3,8
49275,1925,1,0,2300,1436,1,790000,1,2,3,31
49276,1925,1,0,3000,1140,1,790000,2,2,11,6
49277,1925,1,0,2017,1360,1,790000,2,2,1,9
49278,1915,1,0,2000,1152,1,790000,1,2,6,20
49279,1920,1,0,2500,1513,1,790000,2,2,2,3
49280,1910,3,0,1875,2250,3,790000,1,3,5,17
49283,1925,3,0,2000,2354,3,790000,1,2,1,27
49286,1930,2,0,6000,2458,2,790000,1,1.75,4,4
49288,1925,1,0,2433,1216,1,790000,2,2,10,26
49289,1935,2,0,1992,1592,2,790000,1,2,8,22
49290,1960,2,0,2000,2540,2,790000,1,3,11,10
49292,1910,1,0,2000,990,1,790000,2,2,3,17
49351,1901,2,0,2278,2862,2,789500,1,2,6,12
49424,1935,2,0,1729,1938,2,789000,1,2,11,10
49455,1920,1,0,1933,1152,1,788000,2,2,4,7
49457,1930,1,0,2000,1805,1,788000,1,2,1,30
49499,1899,2,1,1500,3700,3,787000,1,3,4,27
49504,1960,2,0,2200,3280,2,786500,1,3,7,10
49508,1950,1,0,1384,992,1,786000,1,2,3,20
49521,1904,2,0,1667,1368,2,785200,1,2,5,23
49687,1980,2,0,3500,2330,2,785000,1,2,2,23
49689,1910,2,0,2003,1620,2,785000,1,2,12,22
49695,1920,2,0,2180,2200,2,785000,1,2,1,31
49696,1899,3,0,1750,2160,3,785000,1,2,12,12
49698,1920,3,0,1841,3300,3,785000,1,2,7,17
49699,1931,4,0,3000,3280,4,785000,2,2,6,8
49701,1925,1,0,2000,1204,1,785000,2,2,1,10
49705,1930,1,0,2225,1692,1,785000,2,2,2,23
49706,1960,1,0,4233,1836,1,785000,1,1,2,16
49707,1960,2,0,4742,2276,2,785000,1,1,8,21
49708,1915,1,1,1701,2314,2,785000,1,2,12,12
49826,1899,3,0,1917,2990,3,783551,1,3,10,2
49829,1920,2,0,1800,1620,2,783484,2,2,1,12
49904,1915,1,1,2400,2972,2,781135,2,2,10,31
50178,1925,2,0,1700,1648,2,780000,1,2,12,28
